Distance Distorted,2,Celestial Realms,114
Essence Eternal,5,Celestial Realms,117
Ethereal Flicker,2,Celestial Realms,114
Hurl from the Stream,3,Celestial Realms,115
Moon on the Shifting Sea,3,Celestial Realms,116
One Within the Void,1,Celestial Realms,114
Reality Stitch,4,Celestial Realms,117
Shattering Caress,4,Celestial Realms,117
Shroud in Solitude,3,Celestial Realms,116
Sight Beyond Existence,1,Celestial Realms,114
Slip the Cycle,5,Celestial Realms,118
The Lotus Blooms,2,Celestial Realms,115
Threee Heartbeats,4,Celestial Realms,117
Unweave,5,Celestial Realms,118
Whispered Blade,1,Celestial Realms,114
Witness the End,1,Celestial Realms,114
